method,held_out,error,true_x,true_y
fisher_wknn,1,3.329636013971463,32.0,0.0
fisher_wknn,2,0.1179822038547158,30.0,0.0
fisher_wknn,3,1.5904566272407052,28.0,0.0
fisher_wknn,4,0.5125090896667928,26.0,0.0
fisher_wknn,5,1.2933746031960105,24.0,0.0
fisher_wknn,6,3.970452813794779,22.0,0.0
fisher_wknn,7,0.8420055541740687,20.0,0.0
fisher_wknn,8,1.2498382354941775,18.0,0.0
fisher_wknn,9,0.9809279794807289,16.0,0.0
fisher_wknn,10,1.4076935995485158,14.0,0.0
fisher_wknn,11,1.6758522298464467,12.0,0.0
fisher_wknn,12,0.8612235205486307,10.0,0.0
fisher_wknn,13,1.4013857167110153,8.0,0.0
fisher_wknn,14,0.7494092808581634,6.0,0.0
fisher_wknn,15,1.2594991135517022,4.0,0.0
fisher_wknn,16,3.5361531249534615,2.0,0.0
fisher_wknn,17,1.849671846466667,0.0,0.0
fisher_wknn,18,5.067937554805015,0.0,2.0
fisher_wknn,19,3.738456755332992,0.0,4.0
fisher_wknn,20,0.7780252487740977,0.0,6.0
fisher_wknn,21,0.9894053963763909,0.0,8.0
fisher_wknn,22,2.0861446220765387,0.0,10.0
fisher_wknn,23,0.8068585017183754,0.0,12.0
fisher_wknn,24,0.8057260749672981,0.0,14.0
fisher_wknn,25,0.09312351142381559,0.0,16.0
fisher_wknn,26,1.2238926155290422,0.0,18.0
fisher_wknn,27,0.8330991227127882,0.0,20.0
fisher_wknn,28,2.049771248553128,0.0,22.0
fisher_wknn,29,1.795219634092387,0.0,24.0
fisher_wknn,30,4.250570112173179,0.0,26.0
fisher_wknn,31,4.257600542436322,0.0,28.0
fisher_wknn,32,3.703682867043227,0.0,30.0
fisher_wknn,33,3.8528964653533926,0.0,32.0
fisher_wknn,34,6.528548195503426,0.0,34.0
fisher_wknn,35,6.510839049317369,0.0,36.0
fisher_wknn,36,4.4696230975071956,0.0,38.0
fisher_wknn,37,3.8945418857471594,0.0,40.0
fisher_wknn,38,0.3037406516629346,0.0,42.0
fisher_wknn,39,1.2534709673940583,0.0,44.0
fisher_wknn,40,1.6283056574804249,0.0,46.0
fisher_wknn,41,0.9849663612072845,0.0,48.0
fisher_wknn,42,1.196308608730476,0.0,50.0
fisher_wknn,43,3.5226375128350753,0.0,52.0
fisher_wknn,44,1.2293646132079061,0.0,54.0
fisher_wknn,45,1.884191362018867,0.0,56.0
fisher_wknn,46,3.801842905356213,2.0,56.0
fisher_wknn,47,0.6200909924480822,4.0,56.0
fisher_wknn,48,1.2369829461893307,6.0,56.0
fisher_wknn,49,1.8367093041406806,8.0,56.0
fisher_wknn,50,4.00297327322679,10.0,56.0
fisher_wknn,51,0.8717510914415492,12.0,56.0
fisher_wknn,52,1.4959994582024407,14.0,56.0
fisher_wknn,53,1.2694716268370705,16.0,56.0
fisher_wknn,54,0.8411771119479461,18.0,56.0
fisher_wknn,55,1.5950956339199216,20.0,56.0
fisher_wknn,56,1.635651496807192,22.0,56.0
fisher_wknn,57,1.321684765840569,24.0,56.0
fisher_wknn,58,3.691982563376655,26.0,56.0
fisher_wknn,59,4.626756657505574,28.0,56.0
mahalanobis_wknn,1,3.068749963256444,32.0,0.0
mahalanobis_wknn,2,0.24281144800645293,30.0,0.0
mahalanobis_wknn,3,1.1343534191283666,28.0,0.0
mahalanobis_wknn,4,1.7362638133952686,26.0,0.0
mahalanobis_wknn,5,1.5036583021984704,24.0,0.0
