protocol,fold,method,key,value
protocol_a,backward_to_forward,ordinal_corridor,selected_m,12
protocol_a,backward_to_forward,ordinal_corridor,selected_C,1.0
protocol_a,backward_to_forward,ordinal_corridor,cv_scores,"{(8, 0.1): 6.919939363782349, (8, 1.0): 6.6638428720309015, (8, 10.0): 6.546340087813507, (12, 0.1): 5.45403840039775, (12, 1.0): 5.199695946870795, (12, 10.0): 5.202983314811031}"
protocol_a,backward_to_forward,ordinal_corridor,n_degenerate_thresholds,0
protocol_a,backward_to_forward,wcl_residual,selected_alpha,0.1
protocol_a,backward_to_forward,wcl_residual,alpha_grid,"[0.1, 1.0, 10.0, 100.0]"
protocol_a,backward_to_forward,wcl_residual,cv_scores,"{'0.1': 2.5265522279519415, '1.0': 2.589346460247915, '10.0': 2.790942449054644, '100.0': 3.0979747235731865}"
protocol_a,backward_to_forward,wcl_residual,n_train_locations,59
protocol_a,backward_to_forward,joint_fp,selected_eta,4.0
protocol_a,backward_to_forward,joint_fp,selected_k,3
protocol_a,backward_to_forward,joint_fp,selected_weighting,inv_sq
protocol_a,backward_to_forward,joint_fp,cv_scores,"{'eta=0.0,k=3,w=inv': 1.636895615150318, 'eta=0.0,k=3,w=inv_sq': 1.595362413812287, 'eta=0.0,k=5,w=inv': 1.9943837324743108, 'eta=0.0,k=5,w=inv_sq': 1.721266623213861, 'eta=0.5,k=3,w=inv': 1.6366162280741594, 'eta=0.5,k=3,w=inv_sq': 1.59455565805524, 'eta=0.5,k=5,w=inv': 1.9940986131687577, 'eta=0.5,k=5,w=inv_sq': 1.7203508408617636, 'eta=1.0,k=3,w=inv': 1.6363374336645842, 'eta=1.0,k=3,w=inv_sq': 1.593750632696464, 'eta=1.0,k=5,w=inv': 1.993814046819586, 'eta=1.0,k=5,w=inv_sq': 1.7194396858938172, 'eta=2.0,k=3,w=inv': 1.6357816127211542, 'eta=2.0,k=3,w=inv_sq': 1.5921457498054943, 'eta=2.0,k=5,w=inv': 1.9932465643503456, 'eta=2.0,k=5,w=inv_sq': 1.7178010709426392, 'eta=4.0,k=3,w=inv': 1.6346769725565131, 'eta=4.0,k=3,w=inv_sq': 1.588956493489377, 'eta=4.0,k=5,w=inv': 1.9921181407719042, 'eta=4.0,k=5,w=inv_sq': 1.714545613354199}"
protocol_a,backward_to_forward,gp_augmented_wknn,selected_delta,4.0
protocol_a,backward_to_forward,gp_augmented_wknn,selected_w_virt,1.0
protocol_a,backward_to_forward,gp_augmented_wknn,selected_k,5
protocol_a,backward_to_forward,gp_augmented_wknn,cv_scores,"{(2.0, 0.25, 5): 1.3802949207160595, (2.0, 0.25, 7): 1.3860051551978034, (2.0, 0.5, 5): 1.3046027408487073, (2.0, 0.5, 7): 1.29906042955475, (2.0, 1.0, 5): 1.2508390306701065, (2.0, 1.0, 7): 1.2374803388061235, (4.0, 0.25, 5): 1.3892572843599462, (4.0, 0.25, 7): 1.4427996173900204, (4.0, 0.5, 5): 1.3209096609580309, (4.0, 0.5, 7): 1.4016317773351428, (4.0, 1.0, 5): 1.232268856341368, (4.0, 1.0, 7): 1.3440394454544036}"
protocol_a,backward_to_forward,gp_augmented_wknn,n_gp_keys,93
protocol_a,backward_to_forward,gp_augmented_wknn,n_real_refs,59
protocol_a,backward_to_forward,gp_augmented_wknn,n_virtual_refs,30
lolo,1,fisher_wknn,selected_M,48
lolo,1,fisher_wknn,selected_k,3
lolo,1,fisher_wknn,selected_weighting,inv_sq
lolo,1,fisher_wknn,n_selected_keys,48
lolo,1,fisher_wknn,cv_best_score,1.6774367838654967
lolo,2,fisher_wknn,selected_M,48
lolo,2,fisher_wknn,selected_k,3
lolo,2,fisher_wknn,selected_weighting,inv_sq
lolo,2,fisher_wknn,n_selected_keys,48
lolo,2,fisher_wknn,cv_best_score,1.6832842761311095
lolo,3,fisher_wknn,selected_M,48
lolo,3,fisher_wknn,selected_k,3
lolo,3,fisher_wknn,selected_weighting,inv_sq
lolo,3,fisher_wknn,n_selected_keys,48
lolo,3,fisher_wknn,cv_best_score,1.615576753929613
lolo,4,fisher_wknn,selected_M,all
lolo,4,fisher_wknn,selected_k,3
lolo,4,fisher_wknn,selected_weighting,inv_sq
lolo,4,fisher_wknn,n_selected_keys,80
lolo,4,fisher_wknn,cv_best_score,1.5979515380864941
lolo,5,fisher_wknn,selected_M,48
lolo,5,fisher_wknn,selected_k,3
lolo,5,fisher_wknn,selected_weighting,inv_sq
lolo,5,fisher_wknn,n_selected_keys,48
lolo,5,fisher_wknn,cv_best_score,1.5199095087256334
lolo,6,fisher_wknn,selected_M,all
lolo,6,fisher_wknn,selected_k,3
lolo,6,fisher_wknn,selected_weighting,inv_sq
lolo,6,fisher_wknn,n_selected_keys,79
lolo,6,fisher_wknn,cv_best_score,1.5754936253894156
lolo,7,fisher_wknn,selected_M,all
lolo,7,fisher_wknn,selected_k,3
lolo,7,fisher_wknn,selected_weighting,inv_sq
lolo,7,fisher_wknn,n_selected_keys,79
lolo,7,fisher_wknn,cv_best_score,1.545820643444353
lolo,8,fisher_wknn,selected_M,all
lolo,8,fisher_wknn,selected_k,3
lolo,8,fisher_wknn,selected_weighting,inv_sq
lolo,8,fisher_wknn,n_selected_keys,79
lolo,8,fisher_wknn,cv_best_score,1.5670854814020334
lolo,9,fisher_wknn,selected_M,all
lolo,9,fisher_wknn,selected_k,3
lolo,9,fisher_wknn,selected_weighting,inv_sq
lolo,9,fisher_wknn,n_selected_keys,80
lolo,9,fisher_wknn,cv_best_score,1.5820732247954983
lolo,10,fisher_wknn,selected_M,all
lolo,10,fisher_wknn,selected_k,3
lolo,10,fisher_wknn,selected_weighting,inv_sq
lolo,10,fisher_wknn,n_selected_keys,80
lolo,10,fisher_wknn,cv_best_score,1.537570423480142
lolo,11,fisher_wknn,selected_M,all
lolo,11,fisher_wknn,selected_k,3
lolo,11,fisher_wknn,selected_weighting,inv_sq
lolo,11,fisher_wknn,n_selected_keys,80
lolo,11,fisher_wknn,cv_best_score,1.6250982316866645
lolo,12,fisher_wknn,selected_M,all
lolo,12,fisher_wknn,selected_k,3
lolo,12,fisher_wknn,selected_weighting,inv_sq
lolo,12,fisher_wknn,n_selected_keys,80
lolo,12,fisher_wknn,cv_best_score,1.5757770422381787
lolo,13,fisher_wknn,selected_M,all
lolo,13,fisher_wknn,selected_k,3
lolo,13,fisher_wknn,selected_weighting,inv_sq
lolo,13,fisher_wknn,n_selected_keys,80
lolo,13,fisher_wknn,cv_best_score,1.5901538947288574
lolo,14,fisher_wknn,selected_M,all
lolo,14,fisher_wknn,selected_k,3
lolo,14,fisher_wknn,selected_weighting,inv_sq
lolo,14,fisher_wknn,n_selected_keys,79
lolo,14,fisher_wknn,cv_best_score,1.6167898337303392
lolo,15,fisher_wknn,selected_M,all
lolo,15,fisher_wknn,selected_k,3
lolo,15,fisher_wknn,selected_weighting,inv_sq
