method,fold,location_p,error,true_x,true_y
centered_fp,forward_to_backward,1,1.4403163094302656,32,0
centered_fp,forward_to_backward,2,0.11511928557223783,30,0
centered_fp,forward_to_backward,3,0.022800128395331853,28,0
centered_fp,forward_to_backward,4,0.3372489541844246,26,0
centered_fp,forward_to_backward,5,1.7232306478925992,24,0
centered_fp,forward_to_backward,6,3.237080641731886,22,0
centered_fp,forward_to_backward,7,0.09324164975057414,20,0
centered_fp,forward_to_backward,8,0.07307880923089627,18,0
centered_fp,forward_to_backward,9,1.7708497577433455,16,0
centered_fp,forward_to_backward,10,1.6712063047182326,14,0
centered_fp,forward_to_backward,11,1.7205563864481572,12,0
centered_fp,forward_to_backward,12,0.10582537046104079,10,0
centered_fp,forward_to_backward,13,0.22362294271479755,8,0
centered_fp,forward_to_backward,14,0.004700472656951504,6,0
centered_fp,forward_to_backward,15,0.16686625297820612,4,0
centered_fp,forward_to_backward,16,1.5996040500609374,2,0
centered_fp,forward_to_backward,17,0.7579115801200416,0,0
centered_fp,forward_to_backward,18,0.05984779815093533,0,2
centered_fp,forward_to_backward,19,0.159573741946196,0,4
centered_fp,forward_to_backward,20,0.24019510551372925,0,6
centered_fp,forward_to_backward,21,1.920159090445738,0,8
centered_fp,forward_to_backward,22,0.19038478005959547,0,10
centered_fp,forward_to_backward,23,1.5761556997622819,0,12
centered_fp,forward_to_backward,24,1.9139122067126078,0,14
centered_fp,forward_to_backward,25,1.0439119748776378,0,16
centered_fp,forward_to_backward,26,0.5789976093214975,0,18
centered_fp,forward_to_backward,27,0.016793387943614846,0,20
centered_fp,forward_to_backward,28,0.14239035423723578,0,22
centered_fp,forward_to_backward,29,1.5117950101253186,0,24
centered_fp,forward_to_backward,30,3.6743465515247458,0,26
centered_fp,forward_to_backward,31,4.510112955480668,0,28
centered_fp,forward_to_backward,32,3.9037678308360952,0,30
centered_fp,forward_to_backward,33,4.706508563512429,0,32
centered_fp,forward_to_backward,34,6.710915249506815,0,34
centered_fp,forward_to_backward,35,6.71998284629672,0,36
centered_fp,forward_to_backward,36,4.155120141538831,0,38
centered_fp,forward_to_backward,37,2.008508790178155,0,40
centered_fp,forward_to_backward,38,0.6534028403955148,0,42
centered_fp,forward_to_backward,39,0.23148779827407395,0,44
centered_fp,forward_to_backward,40,0.09810838338601968,0,46
centered_fp,forward_to_backward,41,0.1816615803353443,0,48
centered_fp,forward_to_backward,42,0.08505494686444592,0,50
centered_fp,forward_to_backward,43,1.4763152238461643,0,52
centered_fp,forward_to_backward,44,0.24174726008175185,0,54
centered_fp,forward_to_backward,45,0.7958170847668901,0,56
centered_fp,forward_to_backward,46,1.5035533687619376,2,56
centered_fp,forward_to_backward,47,1.0375855137561025,4,56
centered_fp,forward_to_backward,48,1.3524478747883384,6,56
centered_fp,forward_to_backward,49,0.05600122149366982,8,56
centered_fp,forward_to_backward,50,4.103641538463269,10,56
centered_fp,forward_to_backward,51,2.478005531759708,12,56
centered_fp,forward_to_backward,52,0.016048979496304128,14,56
centered_fp,forward_to_backward,53,0.0022031996357654293,16,56
centered_fp,forward_to_backward,54,0.807932939159361,18,56
centered_fp,forward_to_backward,55,0.16091032020005613,20,56
centered_fp,forward_to_backward,56,0.7801649419448466,22,56
centered_fp,forward_to_backward,57,1.847085547117377,24,56
centered_fp,forward_to_backward,58,0.21311222943548103,26,56
centered_fp,forward_to_backward,59,1.8400475996142909,28,56
cla,forward_to_backward,1,12.003749414245531,32,0
cla,forward_to_backward,2,10.004498987955365,30,0
cla,forward_to_backward,3,8.00562302385017,28,0
cla,forward_to_backward,4,6.007495318350233,26,0
cla,forward_to_backward,5,4.011234224026312,24,0
cla,forward_to_backward,6,2.022374841615665,22,0
cla,forward_to_backward,7,0.3,20,0
cla,forward_to_backward,8,2.022374841615672,18,0
cla,forward_to_backward,9,4.011234224026316,16,0
cla,forward_to_backward,10,6.007495318350236,14,0
cla,forward_to_backward,11,8.005623023850173,12,0
cla,forward_to_backward,12,10.004498987955369,10,0
cla,forward_to_backward,13,12.003749414245535,8,0
cla,forward_to_backward,14,14.003213916812097,6,0
cla,forward_to_backward,15,6.529335511537313,4,0
cla,forward_to_backward,16,18.002499826412997,2,0
cla,forward_to_backward,17,2.7406406388125952,0,0
cla,forward_to_backward,18,2.076321533652991,0,2
cla,forward_to_backward,19,7.726002272269348,0,4
cla,forward_to_backward,20,5.735077254153695,0,6
cla,forward_to_backward,21,3.7538128764112755,0,8
cla,forward_to_backward,22,1.8141419765583682,0,10
cla,forward_to_backward,23,0.7007932013876224,0,12
cla,forward_to_backward,24,16.17010272763356,0,14
cla,forward_to_backward,25,14.170587692666652,0,16
cla,forward_to_backward,26,12.17123202017318,0,18
cla,forward_to_backward,27,10.172129679778086,0,20
cla,forward_to_backward,28,8.173466556826153,0,22
cla,forward_to_backward,29,6.175669104549637,0,24
cla,forward_to_backward,30,4.179978734661486,0,26
cla,forward_to_backward,31,2.1921577396609853,0,28
cla,forward_to_backward,32,0.3726779962499655,0,30
cla,forward_to_backward,33,1.8633899812498236,0,32
cla,forward_to_backward,34,3.8477987935383973,0,34
cla,forward_to_backward,35,5.842849380986034,0,36
cla,forward_to_backward,36,7.84042232422605,0,38
cla,forward_to_backward,37,9.838981428763626,0,40
cla,forward_to_backward,38,11.838027238053174,0,42
cla,forward_to_backward,39,13.837348814791879,0,44
cla,forward_to_backward,40,8.878000275337284,0,46
cla,forward_to_backward,41,10.64670006256503,0,48
cla,forward_to_backward,42,6.3280679867116225,0,50
cla,forward_to_backward,43,6.405553146380967,0,52
cla,forward_to_backward,44,6.630568938216721,0,54
cla,forward_to_backward,45,7.409303461039892,0,56
cla,forward_to_backward,46,5.770422668901969,2,56
cla,forward_to_backward,47,10.652177659468926,4,56
cla,forward_to_backward,48,8.656532536504182,6,56
cla,forward_to_backward,49,6.663499247559214,8,56
cla,forward_to_backward,50,4.676418382575374,10,56
cla,forward_to_backward,51,2.708423075436248,12,56
cla,forward_to_backward,52,0.8956685895029546,14,56
cla,forward_to_backward,53,1.5062831370259977,16,56
cla,forward_to_backward,54,3.4257197135135775,18,56
cla,forward_to_backward,55,5.403908050866726,20,56
cla,forward_to_backward,56,7.393841281018202,22,56
cla,forward_to_backward,57,9.388053874768485,24,56
cla,forward_to_backward,58,11.384297177350135,26,56
cla,forward_to_backward,59,13.381662411258509,28,56
gp_corridor,forward_to_backward,1,0.08224119862752843,32,0
gp_corridor,forward_to_backward,2,1.5743994257378944,30,0
gp_corridor,forward_to_backward,3,2.4440973303993445,28,0
gp_corridor,forward_to_backward,4,2.4236523082666146,26,0
gp_corridor,forward_to_backward,5,1.0110859042444744,24,0
gp_corridor,forward_to_backward,6,0.7004047096757944,22,0
gp_corridor,forward_to_backward,7,0.6315399120585568,20,0
gp_corridor,forward_to_backward,8,0.963139722566936,18,0
gp_corridor,forward_to_backward,9,0.15819441393449196,16,0
gp_corridor,forward_to_backward,10,0.046998529211023765,14,0
gp_corridor,forward_to_backward,11,0.6643530539550468,12,0
gp_corridor,forward_to_backward,12,0.24305050243386006,10,0
gp_corridor,forward_to_backward,13,0.138085378994262,8,0
gp_corridor,forward_to_backward,14,0.12938062104247194,6,0
gp_corridor,forward_to_backward,15,0.21065203524966236,4,0
gp_corridor,forward_to_backward,16,0.9489894935099308,2,0
gp_corridor,forward_to_backward,17,0.006210337377364539,0,0
gp_corridor,forward_to_backward,18,0.14523400275212572,0,2
gp_corridor,forward_to_backward,19,0.5101536905787896,0,4
gp_corridor,forward_to_backward,20,1.5187111599369416,0,6
gp_corridor,forward_to_backward,21,2.4882409830797414,0,8
gp_corridor,forward_to_backward,22,0.9502827360498642,0,10
gp_corridor,forward_to_backward,23,1.2237074373928962,0,12
gp_corridor,forward_to_backward,24,0.5724932813948911,0,14
gp_corridor,forward_to_backward,25,0.5818353754968939,0,16
gp_corridor,forward_to_backward,26,0.573179103795546,0,18
gp_corridor,forward_to_backward,27,0.601740755389514,0,20
gp_corridor,forward_to_backward,28,0.8188349224993701,0,22
gp_corridor,forward_to_backward,29,0.697532354778879,0,24
gp_corridor,forward_to_backward,30,1.0228909904101684,0,26
gp_corridor,forward_to_backward,31,2.7697716000790678,0,28
gp_corridor,forward_to_backward,32,4.167567003167612,0,30
gp_corridor,forward_to_backward,33,0.49234847061585896,0,32
gp_corridor,forward_to_backward,34,2.297086439043426,0,34
gp_corridor,forward_to_backward,35,1.1646757221603679,0,36
gp_corridor,forward_to_backward,36,1.8781968251852845,0,38
gp_corridor,forward_to_backward,37,0.26236577114102033,0,40
gp_corridor,forward_to_backward,38,0.23360710821236808,0,42
gp_corridor,forward_to_backward,39,0.9883079742026695,0,44
gp_corridor,forward_to_backward,40,0.29569233743220025,0,46
gp_corridor,forward_to_backward,41,0.9735162755016802,0,48
gp_corridor,forward_to_backward,42,0.660703536034319,0,50
gp_corridor,forward_to_backward,43,0.022256338614553783,0,52
gp_corridor,forward_to_backward,44,0.5597065509431758,0,54
gp_corridor,forward_to_backward,45,0.07479447361285452,0,56
gp_corridor,forward_to_backward,46,0.13088669459287416,2,56
gp_corridor,forward_to_backward,47,0.5589810674226499,4,56
gp_corridor,forward_to_backward,48,1.1008358126678672,6,56
gp_corridor,forward_to_backward,49,0.5956199869426797,8,56
gp_corridor,forward_to_backward,50,1.8114715961027912,10,56
gp_corridor,forward_to_backward,51,0.3994692522459218,12,56
gp_corridor,forward_to_backward,52,0.03456994564379379,14,56
gp_corridor,forward_to_backward,53,0.9163873820911022,16,56
gp_corridor,forward_to_backward,54,0.9691044413385015,18,56
gp_corridor,forward_to_backward,55,0.009581678346449962,20,56
gp_corridor,forward_to_backward,56,1.1141764857077732,22,56
gp_corridor,forward_to_backward,57,0.17664681733670307,24,56
gp_corridor,forward_to_backward,58,1.7806501683553364,26,56
gp_corridor,forward_to_backward,59,2.5486493747125536,28,56
multiband_wcl,forward_to_backward,1,2.498553112633842,32,0
multiband_wcl,forward_to_backward,2,5.2981068790171895,30,0
multiband_wcl,forward_to_backward,3,4.600939481252003,28,0
multiband_wcl,forward_to_backward,4,4.323225983145747,26,0
multiband_wcl,forward_to_backward,5,2.033807248498194,24,0
multiband_wcl,forward_to_backward,6,0.7703290140610649,22,0
multiband_wcl,forward_to_backward,7,2.5083315378755424,20,0
multiband_wcl,forward_to_backward,8,3.108805391238911,18,0
multiband_wcl,forward_to_backward,9,3.04961369155106,16,0
multiband_wcl,forward_to_backward,10,3.2378023715205613,14,0
multiband_wcl,forward_to_backward,11,0.8904045405191058,12,0
multiband_wcl,forward_to_backward,12,1.073007715359018,10,0
multiband_wcl,forward_to_backward,13,2.0749063568578494,8,0
multiband_wcl,forward_to_backward,14,4.457745574983833,6,0
multiband_wcl,forward_to_backward,15,6.529445794061622,4,0
multiband_wcl,forward_to_backward,16,10.031854175049919,2,0
multiband_wcl,forward_to_backward,17,4.818182773574401,0,0
multiband_wcl,forward_to_backward,18,4.525929557025086,0,2
multiband_wcl,forward_to_backward,19,8.847110584960147,0,4
multiband_wcl,forward_to_backward,20,9.341268492732095,0,6
multiband_wcl,forward_to_backward,21,7.772345661121591,0,8
multiband_wcl,forward_to_backward,22,5.603032422486048,0,10
multiband_wcl,forward_to_backward,23,3.778690472439946,0,12
multiband_wcl,forward_to_backward,24,3.549371856712588,0,14
multiband_wcl,forward_to_backward,25,1.0982758872609568,0,16
multiband_wcl,forward_to_backward,26,2.5267770417841287,0,18
multiband_wcl,forward_to_backward,27,3.98961850587256,0,20
multiband_wcl,forward_to_backward,28,4.907277691359217,0,22
multiband_wcl,forward_to_backward,29,2.3015473639434343,0,24
multiband_wcl,forward_to_backward,30,2.5989484390082715,0,26
multiband_wcl,forward_to_backward,31,1.686798900556054,0,28
multiband_wcl,forward_to_backward,32,1.1725111254560507,0,30
multiband_wcl,forward_to_backward,33,1.8289517070156822,0,32
multiband_wcl,forward_to_backward,34,3.8149633477725517,0,34
multiband_wcl,forward_to_backward,35,4.823195487119405,0,36
multiband_wcl,forward_to_backward,36,6.3776613386017225,0,38
multiband_wcl,forward_to_backward,37,1.0321825377481237,0,40
multiband_wcl,forward_to_backward,38,1.137349663040252,0,42
multiband_wcl,forward_to_backward,39,3.259289120445007,0,44
multiband_wcl,forward_to_backward,40,2.8985740914904974,0,46
multiband_wcl,forward_to_backward,41,6.407636643108383,0,48
multiband_wcl,forward_to_backward,42,11.07895718398587,0,50
multiband_wcl,forward_to_backward,43,5.814426291466077,0,52
multiband_wcl,forward_to_backward,44,5.208512072554624,0,54
multiband_wcl,forward_to_backward,45,6.045220046572033,0,56
multiband_wcl,forward_to_backward,46,4.226906586938909,2,56
multiband_wcl,forward_to_backward,47,2.8930833390243693,4,56
multiband_wcl,forward_to_backward,48,3.4666664987852185,6,56
multiband_wcl,forward_to_backward,49,2.454889168933084,8,56
multiband_wcl,forward_to_backward,50,3.559014542484745,10,56
multiband_wcl,forward_to_backward,51,3.7916962280495907,12,56
multiband_wcl,forward_to_backward,52,1.7530279521415624,14,56
multiband_wcl,forward_to_backward,53,1.5657990638899408,16,56
multiband_wcl,forward_to_backward,54,3.7371700123375,18,56
multiband_wcl,forward_to_backward,55,3.8463369590609067,20,56
multiband_wcl,forward_to_backward,56,2.3525823706403237,22,56
multiband_wcl,forward_to_backward,57,2.0612201328351216,24,56
multiband_wcl,forward_to_backward,58,1.3568326865715818,26,56
multiband_wcl,forward_to_backward,59,2.9588883818968803,28,56
pbl,forward_to_backward,1,2.1470910553583873,32,0
pbl,forward_to_backward,2,9.2655275079188,30,0
pbl,forward_to_backward,3,7.283543093852057,28,0
pbl,forward_to_backward,4,5.315072906367324,26,0
pbl,forward_to_backward,5,3.3837848631377256,24,0
pbl,forward_to_backward,6,1.6278820596099701,22,0
pbl,forward_to_backward,7,1.360147050873545,20,0
