AP_Name,Floor,x,y,z (AP_height)
AP-C0-3F-01,3,30.1,1,9.7
AP-C0-3F-02,3,20.8,-1.1,9.7
AP-C0-3F-03,3,9.1,1,9.7
AP-C0-3F-04,3,-1.9,-11.2,9.7
AP-C1-3F-01,3,31.5,15.8,9.7
AP-C1-3F-02,3,34,23.2,9.7
AP-C1-3F-03,3,27.4,26.4,9.7
AP-C2-3F-01,3,-1,15.6,9.7
AP-C2-3F-02,3,1,30.7,9.7
AP-C2-3F-03,3,1,44.2,9.7
AP-C3-3F-01,3,4.6,57.3,9.7
AP-C3-3F-02,3,13.6,55.3,9.7
AP-C3-3F-03,3,25.7,57.3,9.7
