method,ave,median,p90,within_2m,delta_vs_wcl,delta_vs_wcl_lo,delta_vs_wcl_hi,delta_vs_gp_corridor,delta_vs_gp_corridor_lo,delta_vs_gp_corridor_hi,status
wcl_virtual_ap,4.130148200168976,3.2572994953600576,7.7964387439856,0.2711864406779661,0.6176495031192127,0.20594128430548955,1.0670498213918134,3.405256648879092,2.6399120653468624,4.21995336239586,ok
wcl,3.512498697049763,2.814764938962698,6.091042791767084,0.3050847457627119,0.0,0.0,0.0,2.7876071457598792,2.1323929013133367,3.4234359684840774,ok
gp_corridor,0.7248915512898838,0.5022457520234269,1.7391334010005193,0.8983050847457628,-2.7876071457598792,-3.4234359684840774,-2.1323929013133367,0.0,0.0,0.0,ok
